Word,Location
because,"Page 7, Line ~35"
network,"Page 7, Line ~35"
grow,"Page 7, Line ~35"
size,"Page 7, Line ~36"
social,"Page 7, Line ~37"
media,"Page 7, Line ~37"
when,"Page 7, Line ~37"
almost,"Page 8, Line ~1"
any,"Page 8, Line ~1"
device,"Page 8, Line ~2"
that,"Page 8, Line ~2"
other,"Page 8, Line ~3"
they,"Page 8, Line ~4"
used,"Page 8, Line ~4"
almost,"Page 8, Line ~5"
because,"Page 8, Line ~5"
almost,"Page 8, Line ~6"
because,"Page 8, Line ~6"
they,"Page 8, Line ~7"
that,"Page 8, Line ~8"
emerge,"Page 8, Line ~8"
main,"Page 8, Line ~9"
because,"Page 8, Line ~9"
property,"Page 8, Line ~9"
easily,"Page 8, Line ~9"
own,"Page 8, Line ~11"
wide,"Page 8, Line ~12"
exchange,"Page 8, Line ~12"
all,"Page 8, Line ~12"
play,"Page 8, Line ~13"
unit,"Page 8, Line ~14"
account,"Page 8, Line ~14"
economy,"Page 8, Line ~14"
good,"Page 8, Line ~15"
will,"Page 8, Line ~15"
have,"Page 8, Line ~15"
other,"Page 8, Line ~16"
large,"Page 8, Line ~17"
number,"Page 8, Line ~17"
economy,"Page 8, Line ~18"
all,"Page 8, Line ~18"
all,"Page 8, Line ~18"
same,"Page 8, Line ~19"
unit,"Page 8, Line ~19"
this,"Page 8, Line ~20"
measure,"Page 8, Line ~20"
that,"Page 8, Line ~21"
they,"Page 8, Line ~21"
much,"Page 8, Line ~22"
they,"Page 8, Line ~22"
need,"Page 8, Line ~22"
obtain,"Page 8, Line ~23"
only,"Page 8, Line ~23"
uniform,"Page 8, Line ~23"
exchange,"Page 8, Line ~24"
unit,"Page 8, Line ~24"
account,"Page 8, Line ~24"
become,"Page 8, Line ~25"
into,"Page 8, Line ~26"
capital,"Page 8, Line ~26"
large,"Page 8, Line ~26"
market,"Page 8, Line ~27"
economy,"Page 8, Line ~27"
common,"Page 8, Line ~28"
this,"Page 8, Line ~29"
easy,"Page 8, Line ~29"
ability,"Page 8, Line ~30"
increase,"Page 8, Line ~30"
will,"Page 8, Line ~31"
prevent,"Page 8, Line ~31"
change,"Page 8, Line ~31"
measure,"Page 8, Line ~33"
exchange,"Page 8, Line ~34"
size,"Page 8, Line ~34"
economy,"Page 8, Line ~34"
grow,"Page 8, Line ~35"
large,"Page 8, Line ~35"
number,"Page 8, Line ~35"
people,"Page 8, Line ~35"
use,"Page 8, Line ~36"
that,"Page 8, Line ~36"
size,"Page 8, Line ~36"
exchange,"Page 8, Line ~37"
more,"Page 8, Line ~38"
more,"Page 8, Line ~38"
can,"Page 8, Line ~39"
can,"Page 8, Line ~39"
capital,"Page 9, Line ~1"
that,"Page 9, Line ~1"
will,"Page 9, Line ~1"
only,"Page 9, Line ~1"
produce,"Page 9, Line ~1"
final,"Page 9, Line ~1"
more,"Page 9, Line ~2"
small,"Page 9, Line ~3"
fish,"Page 9, Line ~3"
fish,"Page 9, Line ~4"
entire,"Page 9, Line ~5"
process,"Page 9, Line ~5"
few,"Page 9, Line ~5"
start,"Page 9, Line ~6"
economy,"Page 9, Line ~6"
more,"Page 9, Line ~6"
capital,"Page 9, Line ~7"
process,"Page 9, Line ~8"
also,"Page 9, Line ~8"
fish,"Page 9, Line ~9"
caught,"Page 9, Line ~9"
that,"Page 9, Line ~10"
build,"Page 9, Line ~10"
able,"Page 9, Line ~11"
